﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3NIDOSThELMihLSOMZcL4k","Hurra die Welt geht unter","K.I.Z, Henning May","Hurra die Welt geht unter","1","13","284693","spotify:user:1163504943","2015-08-10T15:03:15Z"
"spotify:track:1EHVfzuNdYJlPSqze4dqDZ","Ich bin Adolf Hitler","K.I.Z","Ganz Oben (Mixtape)","1","3","270280","spotify:user:1163504943","2015-08-10T15:03:22Z"
"spotify:track:4jjnJ1DTvIlWYmxst7ZXQw","Jimi Blue","K.I.Z","Ganz Oben (Mixtape)","1","12","137506","spotify:user:1163504943","2015-08-10T15:03:29Z"
"spotify:track:3Uu1Gpflq95f8NqKVPB5sz","Urlaub fürs Gehirn","K.I.Z","Urlaub fürs Gehirn","1","2","241973","spotify:user:1163504943","2015-08-10T15:03:44Z"
"spotify:track:3CNC6yCslMjUdhRUcQDR4G","Abteilungsleiter der Liebe","K.I.Z","Urlaub fürs Gehirn","1","6","217200","spotify:user:1163504943","2015-08-10T15:03:50Z"
"spotify:track:644yHJludrNAS814iJ4MJC","Mr. Sonderbar","K.I.Z","Urlaub fürs Gehirn","1","12","234373","spotify:user:1163504943","2015-08-10T15:03:55Z"
"spotify:track:7D8wlUDb0pdnuhQY54tIku","Halbstark","K.I.Z","Sexismus Gegen Rechts","1","3","196533","spotify:user:1163504943","2015-08-10T15:04:09Z"
"spotify:track:3w09TK2vhYnmBgtatAEzeK","Needles","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","2","193573","spotify:user:1163504943","2015-08-10T15:05:06Z"
"spotify:track:2TlwYf1zl73qadqPvyYKVn","Deer Dance","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","3","174933","spotify:user:1163504943","2015-08-10T15:05:08Z"
"spotify:track:3l3w2WYe505ZMT5hRyC0v5","A.D.D. (American Dream Denial)","System Of A Down","Steal This Album!","1","6","197306","spotify:user:1163504943","2015-08-10T15:05:13Z"
"spotify:track:3yP7FBMa6VHShFjKD4CbuU","Forest","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","8","240106","spotify:user:1163504943","2015-08-10T15:05:17Z"
"spotify:track:7BfGwphsAV3MDR0TAkRcVQ","Toxicity","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","12","218933","spotify:user:1163504943","2015-08-10T15:05:19Z"
"spotify:track:5xQsU43GjYLrWnEVudWyCK","ATWA","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","9","176200","spotify:user:1163504943","2015-08-10T15:05:20Z"
"spotify:track:44BcrZYsYkM2YrPXkMduxz","Innervision","System Of A Down","Steal This Album!","1","2","153773","spotify:user:1163504943","2015-08-10T15:05:23Z"
"spotify:track:17cKTJIWIHTeTmdgNs77DL","I-E-A-I-A-I-O","System Of A Down","Steal This Album!","1","8","188600","spotify:user:1163504943","2015-08-10T15:05:26Z"
"spotify:track:5ZdXNFtFUe3e7fojVYwhEl","Ego Brain","System Of A Down","Steal This Album!","1","13","201906","spotify:user:1163504943","2015-08-10T15:05:29Z"
"spotify:track:6Jj1Bb2s0gAOhH4yCGjDvh","Roulette","System Of A Down","Steal This Album!","1","15","201200","spotify:user:1163504943","2015-08-10T15:05:30Z"
"spotify:track:6oO7WMjD6kEvCITLbVj0mu","Hypnotize","System Of A Down","Hypnotize","1","4","189440","spotify:user:1163504943","2015-08-10T15:05:34Z"
"spotify:track:74xvDUbca7nP7XPFJKU0an","Soldier Side - Intro","System Of A Down","Mezmerize","1","1","63666","spotify:user:1163504943","2015-08-10T15:05:42Z"
"spotify:track:2mfjWJIlAdFD8R7suqVwMy","Radio/Video","System Of A Down","Mezmerize","1","5","249226","spotify:user:1163504943","2015-08-10T15:05:46Z"
"spotify:track:0WNBRe3yAtVFTGXG0MkB5X","Cigaro","System Of A Down","Mezmerize","1","4","131706","spotify:user:1163504943","2015-08-10T15:05:48Z"
"spotify:track:34aZfohXhub7594T5e0vR0","Violent Pornography","System Of A Down","Mezmerize","1","7","211333","spotify:user:1163504943","2015-08-10T15:05:50Z"
"spotify:track:2VYxwPamO1jcCN8ODLfNwx","Question!","System Of A Down","Mezmerize","1","8","200600","spotify:user:1163504943","2015-08-10T15:05:52Z"
"spotify:track:5qbRjBcjYDYZPBqV5gMpy9","Sad Statue","System Of A Down","Mezmerize","1","9","205800","spotify:user:1163504943","2015-08-10T15:05:57Z"
"spotify:track:3BIcSUSsd74rKsYPPylJns","War?","System Of A Down","System Of A Down","1","8","160493","spotify:user:1163504943","2015-08-10T15:06:01Z"
"spotify:track:2AAaP7ku1OYTfpEFxOBxCn","Lost In Hollywood","System Of A Down","Mezmerize","1","11","320693","spotify:user:1163504943","2015-08-10T15:06:08Z"
"spotify:track:4epYZ5x6f1GQmdYHnhU7QT","Baba Yetu (feat. Soweto Gospel Choir)","Christopher Tin","Selections from Calling All Dawns","1","1","209946","spotify:user:1163504943","2015-08-12T08:02:29Z"
"spotify:track:4hNXkItzOhW6Nl8dXQgtLR","Dancing in the Sun","ITCHY","Six","1","5","153400","spotify:user:1163504943","2015-08-12T08:02:41Z"
"spotify:track:495oINMkG6w94E0Yc8g2he","Where Is the Happiness","ITCHY","Lights out London","1","3","189960","spotify:user:1163504943","2015-08-12T08:03:02Z"
"spotify:track:0Dho96aJIZ5LJZXyPllbWA","Best Day Of My Life","American Authors","Oh, What A Life","1","3","194186","spotify:user:1163504943","2015-08-12T08:03:11Z"
"spotify:track:2APaWLyP3drx0CIodMhKHd","Hey Ya!","The Blanks","Hey Ya!","1","1","267405","spotify:user:1163504943","2015-08-12T08:03:38Z"
"spotify:track:3dXpq0TpkZrK1cwaJJzEjQ","Keepsake","State Radio","Peace Between Nations EP","1","3","233146","spotify:user:1163504943","2015-08-16T18:51:20Z"
"spotify:track:1Thv8uCYzyOFC7PME9J936","The Island - Pt. I (Dawn)","Pendulum","Immersion","1","8","320173","spotify:user:1163504943","2015-08-17T08:14:56Z"
"spotify:track:4Y2glvLjQGOb4dXnwm1hQf","Witchcraft","Pendulum","Immersion","1","12","252786","spotify:user:1163504943","2015-08-17T08:15:01Z"
"spotify:track:6tC2iHfUlzB2W4ntXXL2BH","Propane Nightmares","Pendulum","In Silico","1","3","313346","spotify:user:1163504943","2015-08-17T08:15:02Z"
"spotify:track:5ami95W9OOWQPwrBb5tud5","Watercolour","Pendulum","Immersion","1","3","304106","spotify:user:1163504943","2015-08-17T08:15:04Z"
"spotify:track:7ifq3etzDP60X1IRaFVngl","Tarantula (Ft. Fresh, $Pyda & Tenor Fly)","Pendulum","Hold Your Colour","1","8","331240","spotify:user:1163504943","2015-08-17T08:15:07Z"
"spotify:track:3cNsLpqu5TGoGKwM6cyZXB","The Vulture","Pendulum","Immersion","1","11","243293","spotify:user:1163504943","2015-08-17T08:15:16Z"
"spotify:track:7AYoXqCtME90flUOpBJM7i","Society","Eddie Vedder","Music For The Motion Picture Into The Wild","1","8","236306","spotify:user:1163504943","2015-08-17T08:18:14Z"
"spotify:track:2LWr0TXOjIuv3B7zO4kHVD","Hard Sun","Eddie Vedder","Music For The Motion Picture Into The Wild","1","7","321760","spotify:user:1163504943","2015-08-17T08:18:27Z"
"spotify:track:3yREcJtetxQZWj71yVb1k1","Rise","Eddie Vedder","Music For The Motion Picture Into The Wild","1","4","156453","spotify:user:1163504943","2015-08-17T08:18:34Z"
"spotify:track:4CwcvWeCi2rFcLPIJCOwXw","Long Nights","Eddie Vedder","Music For The Motion Picture Into The Wild","1","5","151773","spotify:user:1163504943","2015-08-17T08:18:40Z"
"spotify:track:6ts298DHQJw5Ket4IJrl5p","Jetzt","Irie Révoltés","Irie Révoltés","1","10","194546","spotify:user:1163504943","2015-08-23T16:33:18Z"
"spotify:track:3lhMDH6WAwTjebQqlkLhtO","Il est là","Irie Révoltés","Mouvement Mondial","1","6","209666","spotify:user:1163504943","2015-08-23T16:33:21Z"
"spotify:track:5VlMV3ghS8MIiG5OHTs9Jf","Fäuste hoch","Irie Révoltés","Irie Révoltés","1","12","210400","spotify:user:1163504943","2015-08-23T16:33:26Z"
"spotify:track:1kcLIdtceI66arp9TiC8uS","Décision","Irie Révoltés","Irie Révoltés","1","13","192080","spotify:user:1163504943","2015-08-23T16:33:30Z"
"spotify:track:7u8hCu5T8ncew00WIlxZFr","Alles anders","Irie Révoltés","Irie Révoltés","1","14","207573","spotify:user:1163504943","2015-08-23T16:33:35Z"
"spotify:track:5tiHC9uD7CBrWMYV5nSs47","À tout prix","Irie Révoltés","Irie Révoltés","1","7","204400","spotify:user:1163504943","2015-08-23T16:33:46Z"
"spotify:track:00WsxjjgRKIhYcVXpxTrhv","Peur de la liberté","Irie Révoltés","Irie Révoltés","1","8","208960","spotify:user:1163504943","2015-08-23T16:33:48Z"
"spotify:track:4v2OQE8te71pGbtCYZcu58","Ruhe vor dem Sturm","Irie Révoltés","Irie Révoltés","1","1","192480","spotify:user:1163504943","2015-08-23T16:33:59Z"
"spotify:track:3SBCdK5iN0sdEVfGONrF6b","La paix","Irie Révoltés","Allez!","1","9","240346","spotify:user:1163504943","2015-08-23T16:34:14Z"
